date,upc,description,quantity_sold,price,unit_cost,_size,unit_of_measure
2021-01-01,74236526425,hrzn milk 2% uht og2,1.0,6.99,4.0,64,ea
2021-01-01,74236526402,hrzn milk lactose free,1.0,6.99,5.39,64 OZ,OZ
2021-01-01,2640041035,drgld bulgarian bttrmilk,1.0,2.99,1.36,,
2021-01-01,4190007641,dairy pure whole milk 64 z,8.0,2.99,2.33,64 Z,oz
2021-01-01,4190007663,viva 1/2 gal 2% milk,3.0,2.99,2.26,64,
2021-01-01,4190007681,viva 1/2 gal 1% milk,1.0,2.99,2.2,64,OZ
2021-01-01,3680005733,fl cir orgnc 2% rf milk,2.0,4.99,3.27,64 OZ,OZ
2021-01-02,74236526445,horizon whole milk,2.0,6.99,4.0,64,ea
2021-01-02,74236526402,hrzn milk lactose free,1.0,6.99,5.39,64 OZ,OZ
2021-01-02,74236526425,hrzn milk 2% uht og2,1.0,6.99,4.0,64,ea
2021-01-02,81363602188,califa oat milk unswtnd,1.0,6.99,3.92,48,oz
2021-01-02,2529360039,silk soy milk plain,2.0,5.49,3.47,64,
2021-01-02,2640027561,drigld whl milk ultra,1.0,4.99,,,OZ
2021-01-02,4190007641,dairy pure whole milk 64 z,2.0,2.99,2.33,64 Z,oz
2021-01-02,4190007666,mg 2% milk pint,1.0,1.99,0.68,,OZ
2021-01-02,4190007681,viva 1/2 gal 1% milk,3.0,2.99,2.2,64,OZ
2021-01-02,7495802558,cv mozz whl milk shredd,1.0,3.79,1.9,OZ,oz
2021-01-03,74236526425,hrzn milk 2% uht og2,1.0,6.99,4.0,64,ea
2021-01-03,81162002016,fa!rlife hole milk,1.0,5.99,3.24,52,ea
2021-01-03,81363602188,califa oat milk unswtnd,1.0,6.99,3.92,48,oz
2021-01-03,85631200277,fairlife 2% rf milk,2.0,5.49,3.24,52,ea
2021-01-03,85631200279,fairlife 2% choc milk,1.0,5.49,3.24,52,oz
2021-01-03,2640041035,drgld bulgarian bttrmilk,1.0,2.99,1.36,,
2021-01-03,2640041767,drigld strawberry milk,1.0,1.99,1.18,14 OZ,
2021-01-03,4190007641,dairy pure whole milk 64 z,4.0,2.99,2.33,64 Z,oz
2021-01-03,4190007663,viva 1/2 gal 2% milk,3.0,2.99,14.13,64,
2021-01-03,4190007681,viva 1/2 gal 1% milk,1.0,2.99,2.2,64,OZ
2021-01-03,3680011154,fd clb whl milk lact,2.0,3.49,2.65,64,
2021-01-04,81162002016,fa!rlife hole milk,1.0,5.99,3.24,52,ea
2021-01-04,76352800015,prm milk 2% midnt choclt,1.0,3.29,1.63,12,
2021-01-04,4190007704,viva 1/2 gal ff milk,2.0,2.99,2.13,64,OZ
2021-01-04,4190007681,viva 1/2 gal 1% milk,1.0,2.99,2.2,64,OZ
2021-01-04,4190007666,mg 2% milk pint,2.0,1.99,0.68,,OZ
2021-01-04,4190007641,dairy pure whole milk 64 z,5.0,2.99,1.5,64 Z,oz
2021-01-04,4190007663,viva 1/2 gal 2% milk,1.0,2.99,1.45,64,
2021-01-04,3680005733,fl cir orgnc 2% rf milk,1.0,4.99,3.27,64 OZ,OZ
2021-01-04,74236526445,horizon whole milk,1.0,6.99,4.0,64,ea
2021-01-05,76352800015,prm milk 2% midnt choclt,1.0,3.29,1.63,12,
2021-01-05,74236526425,hrzn milk 2% uht og2,3.0,6.99,4.0,64,ea
2021-01-05,74236526445,horizon whole milk,1.0,6.99,4.0,64,ea
2021-01-05,74236526495,horizon whole milk,1.0,6.99,4.94,64 OZ,
2021-01-05,2640041767,drigld strawberry milk,1.0,1.99,1.18,14 OZ,
